index,Location,Metrics,Model Category,Model,y
100,S4,MAE,HY,CNN LSTM,0.1225890339745415
101,S4,MAE,HY,RNN LSTM GRU,0.1204166239375869
102,S4,MAE,HY,CNN RNN GRU,0.1419998358852333
103,S4,MAE,HY,CNN GRU,0.1430844674590561
104,S4,MAE,HY,RNN GRU,0.1207477347563124
105,S4,MAE,HY,RNN LSTM,0.115708003975451
106,S4,MAE,MA HY,CNN LSTM,0.30894898093409
107,S4,MAE,MA HY,RNN LSTM GRU,0.2823492064409786
108,S4,MAE,MA HY,CNN RNN GRU,0.4129855406284332
109,S4,MAE,MA HY,CNN GRU,0.576741035381953
110,S4,MAE,MA HY,RNN GRU,0.2364519603716002
111,S4,MAE,MA HY,RNN LSTM,0.3451775781644715
0,S1,R2,General,CNN,-1.0
1,S1,R2,General,RNN,0.9922002477859784
2,S1,R2,General,GRU,0.3792152106178188
3,S1,R2,General,LSTM,0.9967308633547928
4,S1,R2,MA,CNN,0.9617467185730508
5,S1,R2,MA,RNN,0.946290138423908
6,S1,R2,MA,GRU,0.9512400308016732
7,S1,R2,MA,LSTM,0.6352450837928287
8,S1,R2,DReg,CNN,0.8896880818973871
9,S1,R2,DReg,RNN,0.9982702253662916
10,S1,R2,DReg,GRU,0.9959302995064132
11,S1,R2,DReg,LSTM,0.9984659140664532
12,S1,R2,MA DReg,CNN,0.2920745659490431
13,S1,R2,MA DReg,RNN,0.92049444542167
14,S1,R2,MA DReg,GRU,0.9225960254713248
15,S1,R2,MA DReg,LSTM,0.8450333905524059
16,S1,R2,HY,CNN LSTM,0.9993845237265452
17,S1,R2,HY,RNN LSTM GRU,1.0
18,S1,R2,HY,CNN RNN GRU,0.9973888974215672
19,S1,R2,HY,CNN GRU,0.994931092111626
20,S1,R2,HY,RNN GRU,0.9986131879025923
21,S1,R2,HY,RNN LSTM,0.99943021410817
22,S1,R2,MA HY,CNN LSTM,0.845676711859773
23,S1,R2,MA HY,RNN LSTM GRU,0.9536603687841424
24,S1,R2,MA HY,CNN RNN GRU,0.3892557654838928
25,S1,R2,MA HY,CNN GRU,0.7235250656781296
26,S1,R2,MA HY,RNN GRU,0.9541178778421612
27,S1,R2,MA HY,RNN LSTM,0.8701601986670495
28,S2,R2,General,CNN,0.9533102774530332
29,S2,R2,General,RNN,0.9825183524848468
30,S2,R2,General,GRU,-1.0
31,S2,R2,General,LSTM,0.8468124055551014
32,S2,R2,MA,CNN,0.8693730308147931
33,S2,R2,MA,RNN,0.907263713286508
34,S2,R2,MA,GRU,0.7356855045678192
35,S2,R2,MA,LSTM,0.6870654535242291
36,S2,R2,DReg,CNN,0.1680289053051245
37,S2,R2,DReg,RNN,1.0
38,S2,R2,DReg,GRU,0.9915090540921074
39,S2,R2,DReg,LSTM,0.9851308533232072
40,S2,R2,MA DReg,CNN,-0.9969747626502554
41,S2,R2,MA DReg,RNN,0.9235430956781114
42,S2,R2,MA DReg,GRU,0.9167567356863192
43,S2,R2,MA DReg,LSTM,0.583021965630385
44,S2,R2,HY,CNN LSTM,0.9845749684735756
45,S2,R2,HY,RNN LSTM GRU,0.9945974150827248
46,S2,R2,HY,CNN RNN GRU,0.971152361565015
47,S2,R2,HY,CNN GRU,0.9725147672477256
48,S2,R2,HY,RNN GRU,0.999485826707982
49,S2,R2,HY,RNN LSTM,0.9937301026537856
50,S2,R2,MA HY,CNN LSTM,0.7349932611639949
51,S2,R2,MA HY,RNN LSTM GRU,0.7262682247045189
52,S2,R2,MA HY,CNN RNN GRU,-0.6501776743519327
53,S2,R2,MA HY,CNN GRU,-0.7683334743731653
54,S2,R2,MA HY,RNN GRU,0.927893155652778
55,S2,R2,MA HY,RNN LSTM,0.851728053543348
56,S3,R2,General,CNN,0.9494066895254318
57,S3,R2,General,RNN,0.9774499711592336
58,S3,R2,General,GRU,-0.4096600756119724
59,S3,R2,General,LSTM,0.9928147908727838
60,S3,R2,MA,CNN,0.8209371412163002
61,S3,R2,MA,RNN,0.9043132418213212
62,S3,R2,MA,GRU,0.7495510474944318
63,S3,R2,MA,LSTM,0.7574452693814457
64,S3,R2,DReg,CNN,0.8861484742867247
65,S3,R2,DReg,RNN,0.9939943325114232
66,S3,R2,DReg,GRU,0.9910041028855552
67,S3,R2,DReg,LSTM,0.9993310613075448
68,S3,R2,MA DReg,CNN,-1.0
69,S3,R2,MA DReg,RNN,0.9358533974114224
70,S3,R2,MA DReg,GRU,0.8276756024364922
71,S3,R2,MA DReg,LSTM,0.7732592360070736
72,S3,R2,HY,CNN LSTM,0.9975768215150452
73,S3,R2,HY,RNN LSTM GRU,0.998424069205756
74,S3,R2,HY,CNN RNN GRU,0.9818653762691822
75,S3,R2,HY,CNN GRU,0.9891031245518056
76,S3,R2,HY,RNN GRU,0.9997586429200348
77,S3,R2,HY,RNN LSTM,1.0
78,S3,R2,MA HY,CNN LSTM,0.7310505394017959
79,S3,R2,MA HY,RNN LSTM GRU,0.6301873193357994
80,S3,R2,MA HY,CNN RNN GRU,0.0127938328987289
81,S3,R2,MA HY,CNN GRU,0.4338793375945502
82,S3,R2,MA HY,RNN GRU,0.836628258822411
83,S3,R2,MA HY,RNN LSTM,0.9129237951448536
84,S4,R2,General,CNN,0.970770918472565
85,S4,R2,General,RNN,0.9610965796597624
86,S4,R2,General,GRU,0.2907934342256772
87,S4,R2,General,LSTM,0.989285593071902
88,S4,R2,MA,CNN,0.9446172530862056
89,S4,R2,MA,RNN,0.9778846908795084
90,S4,R2,MA,GRU,0.933109902078707
91,S4,R2,MA,LSTM,0.8904248967167547
92,S4,R2,DReg,CNN,0.890434292139086
93,S4,R2,DReg,RNN,0.9959845011140932
94,S4,R2,DReg,GRU,0.994933676929979
95,S4,R2,DReg,LSTM,0.9978704812533415
96,S4,R2,MA DReg,CNN,-1.0
97,S4,R2,MA DReg,RNN,0.8457519392180561
98,S4,R2,MA DReg,GRU,0.9228253291408086
99,S4,R2,MA DReg,LSTM,0.7471864486541806
100,S4,R2,HY,CNN LSTM,0.993050611472647
